text,label,text_clean
"warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di bandung . tahu berkualitas , dipadu keahlian memasak , dipadu kretivitas , jadilah warung yang menyajikan menu utama berbahan tahu , ditambah menu umum lain seperti ayam . semuanya selera indonesia . harga cukup terjangkau . jangan lewatkan tahu bletoka nya , tidak kalah dengan yang asli dari tegal !",positive,warung dimiliki pengusaha pabrik tahu puluhan tahun terkenal membuat tahu putih bandung tahu berkualitas dipadu keahlian memasak dipadu kretivitas jadilah warung menyajikan menu utama berbahan tahu ditambah menu umum sepe i ayam semuanya selera indonesia harga cukup terjangkau jangan melewati tahu bletoka tidak kalah asli tegal
mohon ulama lurus dan k212 mmbri hujjah partai apa yang harus diwlh agar suara islam tidak pecah-pecah,neutral,mohon ulama lurus k mmbri hujjah pak ai apa harus diwlh suara islam tidak pecah pecah
"lokasi strategis di jalan sumatera bandung . tempat nya nyaman terutama sofa di lantai 2 . paella nya enak , sangat pas dimakan dengan minum bir dingin . appetiser nya juga enak-enak .",positive,lokasi strategis jalan sumatra bandung tempat nyaman terutama sofa lantai paella enak sangat pas dimakan minum bir dingin appetiser enak enak
betapa bahagia nya diri ini saat unboxing paket dan barang nya bagus ! menetapkan beli lagi !,positive,betapa bahagia diri unboxing paket barang bagus menetapkan beli
"duh . jadi mahasiswa jangan sombong dong . kasih kartu kuning segala . belajar dulu yang baik , tidak usahlah ikut-ikut politik . nanti sudah selesai kuliah nya mau ikut politik juga tidak telat . dasar mahasiswa .",negative,aduh jadi mahasiswa jangan sombong dong kasih kakak kamu kuning segala belajar dulu baik tidak usahlah ikut ikut politik selesai kuliah mau ikut politik tidak telat dasar mahasiswa
"makanan beragam , harga makanan di food stall akan ditambahkan 10 % lagi di kasir , suasana ramai dan perlu perhatian untuk mendapatkan parkir dan tempat duduk .",positive,makanan beragam harga makanan food stall ditambahkan kasir suasana ramai perlu perhatian mendapatkan parkir tempat duduk
pakai kartu kredit bca tidak untung malah rugi besar,negative,pakai kakak kamu kredit baca tidak untung malah rugi besar
"tempat unik , bagus buat foto , makanan enak , pegawai ramah , bersih dan luas , wifi kencang . harga standar dan sesuai dengan tempat nya . ada menu masakan makanan barat dan indonesia . menu favorit lychee mojito dan spagheti",positive,tempat unik bagus buat foto makanan enak pegawai ramah bersih luas wifi kencang harga standar sesuai tempat menu masakan makanan barat indonesia menu favorit lychee mojito spagheti
"saya bersama keluarga baru saja menikmati pengalaman kuliner yang menyenangkan di rm sari sunda di jalan . setiabudhi , bandung . tapi , karena tidak ada hubungan untuk rm sari sunda di jalan . setiabudhi , maka saya tuliskan di sini . jadi , maaf jika rekan-rekan pembaca ada yang bingung . beberapa hal yang saya suka dari restoran ini adalah bahwa pelayanan restoran ini terbilang cepat .",positive,bersama keluarga baru menikmati pengalaman kuliner menyenangkan rm sari sunda jalan setiabudhi bandung tapi tidak hubungan rm sari sunda jalan setiabudhi tuliskan sini jadi maaf rekan rekan pembaca bingung beberapa suka restoran pelayanan restoran terbilang cepat
bersyukur,positive,bersyukur
"simcard indosat inaktiv gara-gara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar , ribet banget",negative,simcard indosat inaktiv gara gara lupa isi pulsa kabar aktif pinda pasca bayar ribet banget
sifat iri sering muncul pada orang orang yang tidak punya tujuan hidup,negative,sifat iri sering muncul orang orang tidak punya tujuan hidup
"sekadar menceritakan pengalaman saya pesan steak grilled beef 200 tidak disajikanlah steak 200 tidak tersebut dalam 2 potongan 100 tidak - 100 tidak rasanya tidak buruk , namun kualitas daging nya yang membuat saya enggan memesan menu beef lagi khusus nya sirloin karena lemak nya terlalu banyak untuk ukuran steak namun , masih ada menu-menu lain yang sangat menempel di lidah saya sarankan untuk membeli menu berlabel cheese atau . lanjutan",positive,sekadar menceritakan pengalaman pesan steak grilled beef tidak disajikanlah steak tidak tersebut potongan tidak tidak rasanya tidak buruk kualitas daging membuat enggan memesan menu beef khusus sirloin lemak terlalu banyak ukuran steak menu menu sangat menempel lidah menyarankan membeli menu berlabel cheese lanjutan
"pengalaman bersama indosat hari ini , semoga tidak terjadi pada pelanggan lain . sempat sampai marah-marah dengan pelayanan pelanggan indosat",negative,pengalaman bersama indosat hari semoga tidak terjadi pelanggan sempat marah marah pelayanan pelanggan indosat
anak sekarang sulit untuk dinasehati,negative,anak sekarang sulit dinasehati
hanya mengatasi masalah kayak gini saja anies sandi tidak becus . ke mana saja pasukan kebersihan yang begitu banyak jumlah nya ?,negative,hanya mengatasi masalah begini anies sandi tidak becus mana pasukan kebersihan banyak jumlah
setiap bumn dibentuk dengan uu bukan dibentuk dengan uu .,neutral,badan usaha milik negara dibentuk undang undang bukan dibentuk undang undang
"sehabis puas bermain di trans studio bandung , saya bersama teman sepakat untuk makan ayam kakek di sini . ayam nya selalu enak dan gurih !",positive,sehabis puas bermain trans studio bandung bersama teman sepakat makan ayam kakek sini ayam selalu enak gurih
