Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
di saat semua cowok berusaha melacak perhatian kamu lantas remehkan perhatian kasih khusus kamu basic kamu cowok bego,1,1,1,0,0,0,0,0,1,1,0,0
siapa telat memberi kamu edan sarap bergaul cigax jifla calis sama siapa licew,0,1,0,0,0,0,0,0,0,0,0,0
kadang aku berpikir aku tetap percaya tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan meninggalkan aku sendirian orang tuaku berencana berpisah kakakku lebih memilih jadi kristen aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
aku aku matamu sipit tapi dilihat mana aku,0,0,0,0,0,0,0,0,0,0,0,0
kaum cebong kafir kelihatan dongoknya awal tambah dungu haha,1,1,0,1,1,0,0,0,0,0,1,0
bani taplak dan kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilihan kepala daerah aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
baru selesai re watch aldnoah zero paling kampret memang akhirnya karakter utama cowoknya kena friendzone bro xd,0,1,0,0,0,0,0,0,0,0,0,0
nah admin belanja satu po terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket mana gerai rozak me uaku taipan depan kembar baby romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
enak kalau ngewe,0,1,0,0,0,0,0,0,0,0,0,0
setidaknya punya jari tengah buat kamu ukur nyali sama bacot kamu,1,1,1,0,0,0,0,0,1,1,0,0
banci kaleng malu tidak bisa jawab pe anyaan hari lalu nyungsep koe,1,1,1,0,0,0,0,1,0,1,0,0
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
aktor huru hara prabowo ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
bu guru enakan jadi jablay guru sekolah dasar menikmati jadi pecun guru,1,1,1,0,0,0,0,1,0,1,0,0
lawan bicara tidak intelek kamu otak tidak punya kencing onta mengakui hadis nabi sahih kafir kamu pasti menolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
belakangan kok pikiran ampas banget,0,0,0,0,0,0,0,0,0,0,0,0
ari sama beki rapi monyet,0,1,0,0,0,0,0,0,0,0,0,0
jadi cowok harus gantle kalau tidak gantle namanya banci,1,1,0,1,0,0,0,1,0,0,1,0
alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0
anjing tapi jarang mengambek takut wkwk kan budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
kalau kamu noob pasti peluang disakiti lebih gede,0,0,0,0,0,0,0,0,0,0,0,0
joko widodo dinilai presiden terlemah sejarah indonesia terjadi bukan jokowi tidak memiliki modal dukungan politik cukup melainkan ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak,0,0,0,0,0,0,0,0,0,0,0,0
pelajar sama kecamatan bilah hilir deklarasi anti hoaks pilihan kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
bandara udara internasional ajati dibangun gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
siapapun gubernur presidennya rakyatnya,0,0,0,0,0,0,0,0,0,0,0,0
kerjaannya delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0
menurutku pintu sorga pintu sorga asli pintu hatimu modus banget,0,0,0,0,0,0,0,0,0,0,0,0
partai komunis indonesia hanya muncul jelang pemilihan kepala daerah pemilihan presiden digoreng gosong,1,0,0,1,0,1,0,0,0,0,1,0
nenek nenek heran sama cebong biasanya bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
islam nusantara produk jil dipasarkan gencar antek jil jil anti arab tapi pro asing almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
